[-0.06773831  0.53906077  0.5       ],[-0.04865772  0.9853338   0.5       ],[ 0.98715687 -0.02896389  0.5       ],[ 0.50015634 -0.02095705  0.5       ],0.021763086
[-0.0672132   0.53970587  0.5       ],[-0.0488248  0.9854691  0.5      ],[ 0.98686218 -0.02866859  0.5       ],[ 0.50024003 -0.02101705  0.5       ],0.033699036
[-0.0672132   0.53970587  0.5       ],[-0.0488248  0.9854691  0.5      ],[ 0.98686218 -0.02866859  0.5       ],[ 0.50024003 -0.02101705  0.5       ],0.044305086
[-0.0672132   0.53970587  0.5       ],[-0.0488248  0.9854691  0.5      ],[ 0.98686218 -0.02866859  0.5       ],[ 0.50024003 -0.02101705  0.5       ],0.052017927
[-0.06648792  0.54044378  0.5       ],[-0.04931493  0.98578501  0.5       ],[ 0.9865644  -0.02821817  0.5       ],[ 0.49965224 -0.02095998  0.5       ],0.061440945
[-0.06622171  0.5406552   0.5       ],[-0.04924735  0.98590094  0.5       ],[ 0.9861967  -0.02834463  0.5       ],[ 0.49970296 -0.02123108  0.5       ],0.071084023
[-0.06576271  0.54128331  0.5       ],[-0.04970761  0.9860031   0.5       ],[ 0.98604715 -0.02823296  0.5       ],[ 0.49977419 -0.02138767  0.5       ],0.083279133
[-0.06535277  0.54135317  0.5       ],[-0.04965876  0.98626399  0.5       ],[ 0.98615879 -0.02825078  0.5       ],[ 0.49982336 -0.0213989   0.5       ],0.092433929
[-0.06508831  0.54170489  0.5       ],[-0.04972607  0.98614091  0.5       ],[ 0.98588806 -0.0282276   0.5       ],[ 0.49950698 -0.02046103  0.5       ],0.103049994
[-0.06444622  0.54228151  0.5       ],[-0.04944888  0.98629057  0.5       ],[ 0.98542559 -0.02810196  0.5       ],[ 0.49983865 -0.02061666  0.5       ],0.11489296
[-0.06421247  0.54246712  0.5       ],[-0.04969095  0.9861747   0.5       ],[ 0.98538232 -0.02810871  0.5       ],[ 0.50011355 -0.02099803  0.5       ],0.124073982
[-0.06415688  0.54266167  0.5       ],[-0.04958814  0.98623377  0.5       ],[ 0.98534614 -0.02804289  0.5       ],[ 0.50007725 -0.02060674  0.5       ],0.133837938
[-0.06415688  0.54266167  0.5       ],[-0.04958814  0.98623377  0.5       ],[ 0.98534614 -0.02804289  0.5       ],[ 0.50007725 -0.02060674  0.5       ],0.144967079
[-0.06415688  0.54266167  0.5       ],[-0.04958814  0.98623377  0.5       ],[ 0.98534614 -0.02804289  0.5       ],[ 0.50007725 -0.02060674  0.5       ],0.154765129
[-0.06353753  0.5432905   0.5       ],[-0.04889287  0.9857744   0.5       ],[ 0.98304385 -0.02745252  0.5       ],[ 0.49952668 -0.02058705  0.5       ],0.165614128
[-0.0632608   0.54360515  0.5       ],[-0.04788077  0.98477089  0.5       ],[ 0.98122215 -0.02761029  0.5       ],[ 0.49848905 -0.0212282   0.5       ],0.175894976
[-0.0630561   0.54390347  0.5       ],[-0.04746228  0.98449779  0.5       ],[ 0.98020571 -0.02765228  0.5       ],[ 0.49834025 -0.02078259  0.5       ],0.185758114
[-0.0630346   0.54376411  0.5       ],[-0.04647357  0.98368633  0.5       ],[ 0.97879857 -0.02740946  0.5       ],[ 0.49754915 -0.02055356  0.5       ],0.196342945
[-0.0627745   0.54437101  0.5       ],[-0.04609451  0.9829548   0.5       ],[ 0.97780728 -0.02746212  0.5       ],[ 0.49710798 -0.02108371  0.5       ],0.207001925
[-0.06284153  0.54459858  0.5       ],[-0.04483351  0.98174757  0.5       ],[ 0.97515905 -0.02779837  0.5       ],[ 0.4948045 -0.0211637  0.5      ],0.217432022
[-0.06301001  0.54475832  0.5       ],[-0.04381401  0.9804942   0.5       ],[ 0.97374332 -0.02806793  0.5       ],[ 0.4938955  -0.02145625  0.5       ],0.227344036
[-0.06295761  0.54466981  0.5       ],[-0.04304655  0.97936231  0.5       ],[ 0.97216231 -0.02832928  0.5       ],[ 0.49367204 -0.02160685  0.5       ],0.237426043
[-0.06304953  0.54497033  0.5       ],[-0.04225411  0.97820508  0.5       ],[ 0.97040868 -0.02814809  0.5       ],[ 0.49153045 -0.02172736  0.5       ],0.247494936
[-0.06304953  0.54497033  0.5       ],[-0.04225411  0.97820508  0.5       ],[ 0.97040868 -0.02814809  0.5       ],[ 0.49153045 -0.02172736  0.5       ],0.257518053
[-0.06336259  0.5455237   0.5       ],[-0.03897965  0.97414279  0.5       ],[ 0.9639712  -0.02802039  0.5       ],[ 0.48878086 -0.02189972  0.5       ],0.268563032
[-0.06356584  0.54577446  0.5       ],[-0.0375477   0.97238618  0.5       ],[ 0.96156794 -0.02797639  0.5       ],[ 0.48676017 -0.02218353  0.5       ],0.278777123
[-0.06393197  0.54620719  0.5       ],[-0.03495548  0.96900946  0.5       ],[ 0.95645434 -0.02760118  0.5       ],[ 0.48425701 -0.02293354  0.5       ],0.289474964
[-0.06408491  0.54633039  0.5       ],[-0.03346872  0.96725523  0.5       ],[ 0.95383132 -0.02775536  0.5       ],[ 0.48146403 -0.02305999  0.5       ],0.299399138
[-0.06434844  0.54667968  0.5       ],[-0.03150328  0.96507174  0.5       ],[ 0.95108944 -0.02712761  0.5       ],[ 0.47995853 -0.02354013  0.5       ],0.309586048
[-0.06465966  0.54702866  0.5       ],[-0.0298574   0.96304017  0.5       ],[ 0.94819474 -0.02709881  0.5       ],[ 0.47755966 -0.02378794  0.5       ],0.320307016
[-0.06499373  0.54726666  0.5       ],[-0.02839848  0.96090692  0.5       ],[ 0.94485378 -0.02685993  0.5       ],[ 0.47540471 -0.02363908  0.5       ],0.330219984
[-0.06557474  0.54779834  0.5       ],[-0.02470298  0.95654619  0.5       ],[ 0.93885386 -0.02645614  0.5       ],[ 0.47032225 -0.02424582  0.5       ],0.341536045
[-0.06557474  0.54779834  0.5       ],[-0.02470298  0.95654619  0.5       ],[ 0.93885386 -0.02645614  0.5       ],[ 0.47032225 -0.02424582  0.5       ],0.350832939
[-0.06557474  0.54779834  0.5       ],[-0.02470298  0.95654619  0.5       ],[ 0.93885386 -0.02645614  0.5       ],[ 0.47032225 -0.02424582  0.5       ],0.36153698
[-0.06679551  0.54920113  0.5       ],[-0.01739616  0.94642121  0.5       ],[ 0.92473888 -0.02443244  0.5       ],[ 0.45975709 -0.02546421  0.5       ],0.372311115
[-0.06706291  0.54947335  0.5       ],[-0.01525193  0.94391471  0.5       ],[ 0.9209767  -0.02372467  0.5       ],[ 0.45770293 -0.02557234  0.5       ],0.382544994
[-0.06748153  0.55013895  0.5       ],[-0.01302509  0.94113946  0.5       ],[ 0.91720206 -0.02318883  0.5       ],[ 0.45498607 -0.02613505  0.5       ],0.39289403
[-0.06794439  0.55062443  0.5       ],[-0.01086412  0.938245    0.5       ],[ 0.91276139 -0.02219211  0.5       ],[ 0.45186058 -0.02629187  0.5       ],0.40341711
[-0.06789904  0.55126226  0.5       ],[-0.00862664  0.93545234  0.5       ],[ 0.90898967 -0.02118249  0.5       ],[ 0.44910175 -0.02640857  0.5       ],0.413069963
[-0.06877641  0.55230796  0.5       ],[-0.00419185  0.9293372   0.5       ],[ 0.90085459 -0.01947527  0.5       ],[ 0.44264689 -0.02725273  0.5       ],0.423836947
[-0.06897515  0.55264151  0.5       ],[-0.00168139  0.92625213  0.5       ],[ 0.89621305 -0.01826135  0.5       ],[ 0.43883848 -0.02769563  0.5       ],0.434818983
[-0.06952032  0.5532316   0.5       ],[3.01950378e-04 9.23098683e-01 5.00000000e-01],[ 0.89224839 -0.01747342  0.5       ],[ 0.43617019 -0.02826776  0.5       ],0.444142103
[-0.06952032  0.5532316   0.5       ],[3.01950378e-04 9.23098683e-01 5.00000000e-01],[ 0.89224839 -0.01747342  0.5       ],[ 0.43617019 -0.02826776  0.5       ],0.454890013
[-0.07060623  0.55497772  0.5       ],[0.00746578 0.91368437 0.5       ],[ 0.87904215 -0.01416322  0.5       ],[ 0.42653218 -0.02925355  0.5       ],0.467272043
[-0.07102879  0.55567753  0.5       ],[0.00969791 0.91056103 0.5       ],[ 0.87460977 -0.01261621  0.5       ],[ 0.42274341 -0.029107    0.5       ],0.476201057
[-0.07134973  0.55601585  0.5       ],[0.01216735 0.90734315 0.5       ],[ 0.86961067 -0.0113555   0.5       ],[ 0.41977564 -0.02935706  0.5       ],0.486822128
[-0.07218213  0.55732232  0.5       ],[0.01665074 0.90048641 0.5       ],[ 0.86030197 -0.00861775  0.5       ],[ 0.41201308 -0.03090546  0.5       ],0.498255014
[-0.07261137  0.5578934   0.5       ],[0.0191744  0.89748359 0.5       ],[ 0.85582769 -0.00759914  0.5       ],[ 0.40823242 -0.03132356  0.5       ],0.507411003
[-0.07296924  0.55842733  0.5       ],[0.02140382 0.89410359 0.5       ],[ 0.85102421 -0.00582792  0.5       ],[ 0.40523666 -0.03185173  0.5       ],0.517957926
[-0.07339171  0.55920249  0.5       ],[0.02394625 0.8908149  0.5       ],[ 0.84605223 -0.00459744  0.5       ],[ 0.40123588 -0.03240604  0.5       ],0.528746128
[-0.07405233  0.56040812  0.5       ],[0.02854217 0.8839066  0.5       ],[ 0.83647478 -0.00170744  0.5       ],[ 0.3945739 -0.0333698  0.5      ],0.538953066
[-0.07405233  0.56040812  0.5       ],[0.02854217 0.8839066  0.5       ],[ 0.83647478 -0.00170744  0.5       ],[ 0.3945739 -0.0333698  0.5      ],0.549234152
[-0.07405233  0.56040812  0.5       ],[0.02854217 0.8839066  0.5       ],[ 0.83647478 -0.00170744  0.5       ],[ 0.3945739 -0.0333698  0.5      ],0.560306072
[-0.07479043  0.56175262  0.5       ],[0.03320439 0.8774907  0.5       ],[0.82689232 0.00153008 0.5       ],[ 0.38777521 -0.03418173  0.5       ],0.570647001
[-0.07525858  0.56399453  0.5       ],[0.04026041 0.86743063 0.5       ],[0.81241196 0.00608526 0.5       ],[ 0.37739861 -0.03551679  0.5       ],0.581474066
[-0.07551267  0.56468755  0.5       ],[0.0424052  0.86396414 0.5       ],[0.80757695 0.00768023 0.5       ],[ 0.37373826 -0.03636966  0.5       ],0.59126997
[-0.07577857  0.56517589  0.5       ],[0.04468958 0.8607896  0.5       ],[0.80316985 0.00924914 0.5       ],[ 0.37089908 -0.03641769  0.5       ],0.60155201
[-0.07607047  0.56593865  0.5       ],[0.04698106 0.85751134 0.5       ],[0.7972638  0.01113917 0.5       ],[ 0.3677088  -0.03689837  0.5       ],0.612056017
[-0.07642803  0.56659579  0.5       ],[0.04901464 0.85423738 0.5       ],[0.7929163  0.01153501 0.5       ],[ 0.36358398 -0.03778964  0.5       ],0.624362946
[-0.07696614  0.567936    0.5       ],[0.05368076 0.84740925 0.5       ],[0.78302658 0.01511592 0.5       ],[ 0.35735607 -0.03864278  0.5       ],0.633480072
[-0.07728692  0.56856054  0.5       ],[0.05587657 0.84441507 0.5       ],[0.77798969 0.01723214 0.5       ],[ 0.35355526 -0.03851545  0.5       ],0.643820047
[-0.07756715  0.56914794  0.5       ],[0.0576444  0.84137934 0.5       ],[0.77345026 0.01894485 0.5       ],[ 0.35104984 -0.03943614  0.5       ],0.653919935
[-0.07756715  0.56914794  0.5       ],[0.0576444  0.84137934 0.5       ],[0.77345026 0.01894485 0.5       ],[ 0.35104984 -0.03943614  0.5       ],0.663975
[-0.07844676  0.57095164  0.5       ],[0.06373331 0.83120906 0.5       ],[0.75830632 0.02455729 0.5       ],[ 0.34042323 -0.04038163  0.5       ],0.675601006
[-0.0787118   0.57136875  0.5       ],[0.06594998 0.828318   0.5       ],[0.75398415 0.02629428 0.5       ],[ 0.33750039 -0.04080445  0.5       ],0.684348106
[-0.07893963  0.5717935   0.5       ],[0.06786143 0.82559532 0.5       ],[0.74911219 0.02821934 0.5       ],[ 0.33404651 -0.04125154  0.5       ],0.694926024
[-0.07932795  0.57250696  0.5       ],[0.06981655 0.82244104 0.5       ],[0.74422681 0.03000963 0.5       ],[ 0.33180973 -0.04102077  0.5       ],0.704887152
[-0.07959735  0.57298368  0.5       ],[0.07212815 0.81931174 0.5       ],[0.73989004 0.03173848 0.5       ],[ 0.32833824 -0.04113015  0.5       ],0.714798927
[-0.07993026  0.57337552  0.5       ],[0.07328059 0.81602168 0.5       ],[0.73570818 0.03401471 0.5       ],[ 0.32582089 -0.04103113  0.5       ],0.725594997
[-0.08055487  0.57425982  0.5       ],[0.0770065  0.81036741 0.5       ],[0.72644156 0.03790453 0.5       ],[ 0.32011521 -0.04144042  0.5       ],0.735739946
[-0.08071455  0.57466662  0.5       ],[0.07907435 0.80754733 0.5       ],[0.72156328 0.03973332 0.5       ],[ 0.31710753 -0.04153133  0.5       ],0.746345043
[-0.08071455  0.57466662  0.5       ],[0.07907435 0.80754733 0.5       ],[0.72156328 0.03973332 0.5       ],[ 0.31710753 -0.04153133  0.5       ],0.756626129
[-0.08071455  0.57466662  0.5       ],[0.07907435 0.80754733 0.5       ],[0.72156328 0.03973332 0.5       ],[ 0.31710753 -0.04153133  0.5       ],0.766883135
[-0.08071455  0.57466662  0.5       ],[0.07907435 0.80754733 0.5       ],[0.72156328 0.03973332 0.5       ],[ 0.31710753 -0.04153133  0.5       ],0.777846098
[-0.08071455  0.57466662  0.5       ],[0.07907435 0.80754733 0.5       ],[0.72156328 0.03973332 0.5       ],[ 0.31710753 -0.04153133  0.5       ],0.788949013
[-0.08222871  0.57666373  0.5       ],[0.08848793 0.79076451 0.5       ],[0.69654065 0.05116709 0.5       ],[ 0.30154437 -0.04217789  0.5       ],0.799292088
[-0.0825014   0.57723856  0.5       ],[0.0913368  0.78620535 0.5       ],[0.68885458 0.05500682 0.5       ],[ 0.29653287 -0.04165863  0.5       ],0.809248924
